Id,Predicted
262120,Entertainment
175132,Business
218739,Entertainment
253483,Entertainment
224109,Entertainment
107328,Business
50218,Technology
82885,Health
26626,Technology
92297,Entertainment
32131,Technology
253378,Entertainment
219343,Entertainment
196162,Entertainment
123141,Business
41562,Technology
71321,Technology
58120,Technology
224183,Entertainment
258119,Entertainment
36838,Entertainment
157497,Business
197353,Entertainment
50466,Technology
146983,Business
261362,Entertainment
107738,Business
265287,Entertainment
146204,Business
289147,Entertainment
255452,Entertainment
236315,Entertainment
108140,Business
212931,Entertainment
151812,Business
124278,Business
281972,Entertainment
183218,Business
70207,Entertainment
271659,Entertainment
211734,Entertainment
272072,Entertainment
49461,Technology
67349,Technology
57848,Technology
169761,Business
55363,Technology
11124,Technology
3175,Technology
101772,Health
3015,Technology
283865,Entertainment
282702,Entertainment
240497,Entertainment
12415,Technology
45172,Technology
193807,Entertainment
65595,Technology
37774,Technology
284507,Entertainment
232539,Entertainment
42226,Technology
33201,Technology
222446,Entertainment
174603,Health
66070,Technology
167420,Business
203262,Entertainment
56789,Technology
109086,Business
229733,Entertainment
247415,Entertainment
249535,Entertainment
273822,Entertainment
81974,Entertainment
141453,Business
156351,Business
283230,Entertainment
64825,Technology
53157,Business
99731,Health
150782,Business
77734,Health
261813,Entertainment
185063,Entertainment
15178,Technology
66791,Technology
146200,Business
103785,Health
32694,Entertainment
156123,Business
241576,Entertainment
51746,Business
13897,Technology
161008,Business
262739,Entertainment
192066,Entertainment
139831,Business
283476,Entertainment
93728,Health
148475,Business
274852,Entertainment
244261,Entertainment
42157,Technology
168728,Business
219512,Entertainment
256035,Entertainment
157072,Business
59789,Technology
26192,Technology
185864,Entertainment
235401,Entertainment
59453,Technology
204473,Entertainment
271027,Entertainment
105671,Business
273921,Entertainment
3437,Technology
42804,Technology
289882,Entertainment
90476,Health
253563,Entertainment
201918,Entertainment
94962,Health
136891,Business
226038,Entertainment
56384,Business
228968,Entertainment
91823,Health
186296,Entertainment
262782,Entertainment
39765,Technology
179598,Business
44226,Technology
268353,Entertainment
266186,Entertainment
247048,Entertainment
280840,Entertainment
199875,Entertainment
196384,Entertainment
149269,Business
21599,Technology
57882,Technology
180419,Business
280697,Entertainment
68142,Business
86430,Health
187583,Entertainment
150266,Business
31863,Technology
260593,Entertainment
76933,Health
